,arrest,black,perceivedage,gender,trafficstop,raceperceivedpriortostop,tract_distancefromcal,tract_medianincome,tract_annualstops,tract_nonwhitecomp
326,0,0,20,1,1,0,1.009877144,71352,436,0.377806286
327,0,1,35,2,1,0,1.009877144,71352,436,0.377806286
328,0,0,35,2,1,0,1.009877144,71352,436,0.377806286
329,0,1,35,2,1,0,1.009877144,71352,436,0.377806286
330,0,0,25,1,1,0,1.009877144,71352,436,0.377806286
331,1,0,1,1,1,1,1.0,1,1,1.0
332,0,0,40,1,0,1,1.009877144,71352,436,0.377806286
333,0,0,20,1,0,1,1.009877144,71352,436,0.377806286
334,0,0,20,1,1,0,1.009877144,71352,436,0.377806286
335,1,0,1,1,1,1,1.0,1,1,1.0
336,0,1,22,2,1,0,1.009877144,71352,436,0.377806286
337,1,0,1,1,1,1,1.0,1,1,1.0
338,0,0,30,1,1,0,1.009877144,71352,436,0.377806286
339,0,0,23,1,1,0,1.009877144,71352,436,0.377806286
340,0,0,50,2,1,0,1.009877144,71352,436,0.377806286
341,0,0,25,2,1,0,1.009877144,71352,436,0.377806286
342,0,1,25,1,1,0,1.009877144,71352,436,0.377806286
343,0,0,10,1,1,0,1.009877144,71352,436,0.377806286
344,0,0,35,1,0,0,1.009877144,71352,436,0.377806286
345,0,0,35,1,0,1,1.009877144,71352,436,0.377806286
346,1,0,1,1,1,1,1.0,1,1,1.0
347,0,1,26,1,1,1,1.009877144,71352,436,0.377806286
348,0,0,20,2,1,0,1.009877144,71352,436,0.377806286
349,1,0,1,1,1,1,1.0,1,1,1.0
350,0,0,32,2,1,0,1.009877144,71352,436,0.377806286
351,0,0,40,1,1,0,1.009877144,71352,436,0.377806286
352,0,1,35,1,0,1,1.009877144,71352,436,0.377806286
353,0,1,40,2,1,0,1.009877144,71352,436,0.377806286
354,0,0,30,1,1,0,1.009877144,71352,436,0.377806286
355,0,0,60,1,1,0,1.009877144,71352,436,0.377806286
356,0,0,40,1,0,1,1.009877144,71352,436,0.377806286
357,0,0,60,2,0,1,1.009877144,71352,436,0.377806286
358,1,0,1,1,1,1,1.0,1,1,1.0
359,1,0,50,1,0,1,1.009877144,71352,436,0.377806286
360,0,0,30,2,0,0,1.009877144,71352,436,0.377806286
361,0,1,40,1,0,0,1.009877144,71352,436,0.377806286
362,1,0,20,1,0,1,1.009877144,71352,436,0.377806286
363,0,0,20,2,1,0,1.009877144,71352,436,0.377806286
364,0,1,60,1,1,0,1.009877144,71352,436,0.377806286
365,0,0,22,1,1,0,1.009877144,71352,436,0.377806286
366,0,0,65,1,0,1,1.009877144,71352,436,0.377806286
367,0,0,70,2,0,1,1.009877144,71352,436,0.377806286
368,0,1,23,2,1,1,1.009877144,71352,436,0.377806286
369,0,0,45,1,1,0,1.009877144,71352,436,0.377806286
370,1,0,1,1,1,1,1.0,1,1,1.0
371,0,0,28,2,1,1,1.009877144,71352,436,0.377806286
372,0,0,40,1,1,0,1.009877144,71352,436,0.377806286
373,0,0,50,1,0,0,1.009877144,71352,436,0.377806286
374,0,1,30,1,0,0,1.009877144,71352,436,0.377806286
375,1,0,1,1,1,1,1.0,1,1,1.0
376,1,1,22,2,0,1,1.009877144,71352,436,0.377806286
377,0,1,21,2,1,0,1.009877144,71352,436,0.377806286
378,0,0,40,1,0,1,1.009877144,71352,436,0.377806286
379,0,0,25,1,1,0,1.009877144,71352,436,0.377806286
380,0,1,50,1,1,0,1.009877144,71352,436,0.377806286
381,0,1,45,1,0,1,1.009877144,71352,436,0.377806286
382,1,0,1,1,1,1,1.0,1,1,1.0
384,0,0,50,1,1,0,1.009877144,71352,436,0.377806286
385,0,0,22,1,1,0,1.009877144,71352,436,0.377806286
386,0,1,40,1,0,1,1.009877144,71352,436,0.377806286
387,0,0,60,2,0,1,1.009877144,71352,436,0.377806286
388,0,0,30,1,1,0,1.009877144,71352,436,0.377806286
389,0,0,65,1,1,0,1.009877144,71352,436,0.377806286
390,0,0,50,2,1,0,1.009877144,71352,436,0.377806286
391,0,1,50,2,0,0,1.009877144,71352,436,0.377806286
392,0,1,60,2,1,0,1.009877144,71352,436,0.377806286
393,0,1,30,2,0,1,1.009877144,71352,436,0.377806286
394,0,1,40,1,1,0,1.009877144,71352,436,0.377806286
395,1,0,35,1,0,1,1.009877144,71352,436,0.377806286
396,0,1,25,1,0,1,1.009877144,71352,436,0.377806286
397,0,1,40,1,0,1,1.009877144,71352,436,0.377806286
398,0,1,30,1,0,1,1.009877144,71352,436,0.377806286
399,1,0,1,1,1,1,1.0,1,1,1.0
400,0,0,80,1,0,1,1.009877144,71352,436,0.377806286
401,0,1,60,2,1,0,1.009877144,71352,436,0.377806286
402,0,0,52,1,1,0,1.009877144,71352,436,0.377806286
403,0,0,45,1,0,0,1.009877144,71352,436,0.377806286
404,0,0,40,1,1,0,1.009877144,71352,436,0.377806286
405,0,1,60,1,1,0,1.009877144,71352,436,0.377806286
406,0,0,30,2,1,0,1.009877144,71352,436,0.377806286
407,0,1,50,1,1,0,1.009877144,71352,436,0.377806286
408,0,1,40,1,0,0,1.009877144,71352,436,0.377806286
409,0,0,30,1,1,0,1.009877144,71352,436,0.377806286
410,0,1,40,1,0,1,1.009877144,71352,436,0.377806286
411,0,1,35,1,0,1,1.009877144,71352,436,0.377806286
412,1,1,50,1,0,1,1.009877144,71352,436,0.377806286
413,0,0,40,2,1,0,1.009877144,71352,436,0.377806286
414,0,0,22,2,1,0,1.009877144,71352,436,0.377806286
415,0,0,25,1,1,0,1.009877144,71352,436,0.377806286
416,1,0,1,1,1,1,1.0,1,1,1.0
417,0,0,20,1,1,1,1.009877144,71352,436,0.377806286
418,1,0,45,1,0,1,1.009877144,71352,436,0.377806286
419,0,0,22,1,1,0,1.009877144,71352,436,0.377806286
420,0,0,25,2,1,1,1.009877144,71352,436,0.377806286
421,0,1,21,1,1,1,1.009877144,71352,436,0.377806286
422,0,0,60,2,0,1,1.009877144,71352,436,0.377806286
423,0,0,35,1,1,0,1.009877144,71352,436,0.377806286
424,0,0,35,1,1,0,1.009877144,71352,436,0.377806286
425,0,1,43,1,1,0,1.009877144,71352,436,0.377806286
426,0,0,35,1,1,0,1.009877144,71352,436,0.377806286
427,1,0,1,1,1,1,1.0,1,1,1.0
428,0,1,20,2,1,0,1.009877144,71352,436,0.377806286
429,1,0,1,1,1,1,1.0,1,1,1.0
430,0,1,45,1,1,0,1.009877144,71352,436,0.377806286
431,0,0,30,1,1,0,1.009877144,71352,436,0.377806286
432,1,0,1,1,1,1,1.0,1,1,1.0
433,1,0,35,1,1,1,1.009877144,71352,436,0.377806286
